 942	2938	 274
 945	2953	 274
 942	2964	 274
 935	2973	 274
 925	2979	 274
 915	2983	 274
 908	2986	 274
 908	2987	 274
 904	2986	 274
 895	2985	 274
 880	2981	 274
 859	2977	 274
 832	2971	 274
 797	2964	 274
 772	2956	 274
 735	2946	 274
 693	2936	 274
 658	2925	 274
 634	2914	 274
 617	2906	 274
 605	2899	 274
 604	2892	 274
 600	2882	 274
 595	2871	 274
 591	2859	 274
 589	2845	 274
 590	2832	 274
 592	2819	 274
 597	2807	 274
 602	2797	 274
 605	2787	 274
 621	2780	 274
 651	2773	 274
 705	2768	 274
 770	2763	 274
 822	2760	 274
 874	2756	 274
 904	2753	 274
 918	2751	 274
 998	2748	 274
1065	2746	 274
1164	2744	 274
1210	2742	 274
1285	2740	 274
1381	2738	 274
1492	2736	 274
1536	2734	 274
1668	2732	 274
1769	2729	 274
1816	2724	 274
1899	2724	 274
2036	2724	 274
2119	2724	 274
2221	2722	 274
2347	2719	 274
2417	2714	 274
2457	2707	 274
2549	2697	 274
2681	2683	 274
2724	2666	 274
2774	2644	 274
2873	2612	 274
2937	2576	 274
3003	2549	 274
3026	2526	 274
3040	2504	 274
3083	2482	 274
3130	2458	 274
3168	2436	 274
3194	2423	 274
3211	2421	 274
3221	2415	 274
3226	2402	 274
3225	2384	 274
3219	2360	 274
3208	2330	 274
3192	2306	 274
3171	2272	 274
3144	2230	 274
3112	2190	 274
3079	2157	 274
3049	2133	 274
3030	2119	 274
3027	2115	 274
3019	2101	 274
3001	2081	 274
2974	2055	 274
2939	2027	 274
2908	1997	 274
2889	1964	 274
2861	1940	 274
2829	1921	 274
2799	1904	 274
2775	1889	 274
2758	1873	 274
2745	1858	 274
2736	1845	 274
2730	1833	 274
2724	1825	 274
2724	1819	 274
2723	1816	 274
2721	1816	 274
2718	1816	 274
2714	1815	 274
2710	1814	 274
2705	1812	 274
2701	1810	 274
2697	1808	 274
2693	1805	 274
2689	1802	 274
2686	1799	 274
2683	1795	 274
2679	1792	 274
2676	1788	 274
2673	1784	 274
2670	1779	 274
2666	1774	 274
2663	1769	 274
2659	1763	 274
2655	1757	 274
2651	1750	 274
2646	1742	 274
2641	1734	 274
2635	1725	 274
2629	1715	 274
2621	1705	 274
2617	1696	 274
2623	1690	 274
2601	1683	 274
2585	1674	 274
2579	1664	 274
2574	1653	 274
2569	1640	 274
2565	1628	 274
2562	1615	 274
2559	1603	 274
2556	1591	 274
2555	1580	 274
2554	1570	 274
2554	1562	 274
2554	1554	 274
2556	1548	 274
2558	1542	 274
2562	1538	 274
2566	1534	 274
2573	1531	 274
2580	1528	 274
2598	1527	 274
2624	1526	 274
2627	1525	 274
2641	1525	 274
2656	1526	 274
2671	1528	 274
2685	1530	 274
2698	1533	 274
2709	1537	 274
2718	1542	 274
2723	1548	 274
2724	1556	 274
2731	1565	 274
2740	1576	 274
2754	1589	 274
2773	1605	 274
2798	1622	 274
2828	1639	 274
2858	1656	 274
2884	1672	 274
2901	1686	 274
2920	1696	 274
2946	1714	 274
2972	1733	 274
2993	1750	 274
3009	1767	 274
3020	1782	 274
3026	1795	 274
3027	1805	 274
3030	1813	 274
3040	1816	 274
3054	1817	 274
3070	1831	 274
3086	1854	 274
3102	1880	 274
3117	1906	 274
3130	1933	 274
3141	1965	 274
3151	2008	 274
3158	2045	 274
3165	2078	 274
3170	2102	 274
3174	2117	 274
3177	2123	 274
3179	2144	 274
3180	2177	 274
3181	2219	 274
3181	2266	 274
3181	2304	 274
3181	2331	 274
3180	2363	 274
3179	2388	 274
3178	2407	 274
3178	2418	 274
3177	2421	 274
3177	2429	 274
3177	2452	 274
3178	2480	 274
3180	2506	 274
3182	2532	 274
3185	2564	 274
3189	2624	 274
3194	2651	 274
3200	2681	 274
3207	2702	 274
3215	2717	 274
3223	2724	 274
3232	2724	 274
3240	2735	 274
3249	2748	 274
3256	2766	 274
3264	2789	 274
3270	2816	 274
3275	2845	 274
3280	2870	 274
3290	2891	 274
3298	2904	 274
3306	2921	 274
3312	2944	 274
3317	2967	 274
3321	2987	 274
3324	3003	 274
3326	3015	 274
3328	3023	 274
3329	3027	 274
3329	3027	 274
3329	3036	 274
3329	3052	 274
3329	3074	 274
3329	3101	 274
3328	3131	 274
3327	3162	 274
3325	3191	 274
3321	3217	 274
3314	3241	 274
3305	3260	 274
3293	3275	 274
3279	3293	 274
3270	3311	 274
3258	3323	 274
3241	3329	 274
3222	3330	 274
3198	3341	 274
3173	3366	 274
3145	3399	 274
3116	3432	 274
3089	3463	 274
3066	3488	 274
3048	3509	 274
3035	3524	 274
3028	3536	 274
3027	3543	 274
3026	3547	 274
3025	3546	 274
3023	3542	 274
3022	3533	 274
3021	3518	 274
3022	3497	 274
3023	3467	 274
3025	3426	 274
3027	3379	 274
3027	3339	 274
3033	3330	 274
3050	3319	 274
3081	3286	 274
3125	3254	 274
3174	3201	 274
3220	3122	 274
3257	3046	 274
3281	3025	 274
3315	2985	 274
3330	2908	 274
3344	2840	 274
3409	2756	 274
3486	2724	 274
3545	2694	 274
3585	2625	 274
3612	2519	 274
3631	2458	 274
3631	2421	 274
3676	2405	 274
3736	2358	 274
3773	2298	 274
3789	2213	 274
3788	2143	 274
3768	2117	 274
3719	2086	 274
3648	2028	 274
3632	1958	 274
3609	1910	 274
3565	1869	 274
3474	1831	 274
3347	1816	 274
3318	1814	 274
3249	1806	 274
3115	1795	 274
3025	1784	 274
2917	1773	 274
2771	1764	 274
2709	1757	 274
2542	1752	 274
2425	1751	 274
2369	1752	 274
2208	1756	 274
2106	1761	 274
1944	1769	 274
1818	1778	 274
1764	1788	 274
1631	1798	 274
1513	1806	 274
