1, 1409, 320, 274, 0.000000, 0.000000 
2, 1370, 3562, 274, 1.000000, 0.000000 
3, 1336, 3520, 274, 2.000000, 0.000000 
4, 1306, 3488, 274, 3.000000, 0.000000 
5, 1280, 3466, 274, 4.000000, 0.000000 
6, 1257, 3452, 274, 5.000000, 0.000000 
7, 1239, 3446, 274, 6.000000, 0.000000 
8, 1223, 3446, 274, 7.000000, 0.000000 
9, 1210, 3452, 274, 8.000000, 0.000000 
10, 1199, 3463, 274, 9.000000, 0.000000 
11, 1191, 3478, 274, 10.000000, 0.000000 
12, 1184, 3496, 274, 11.000000, 0.000000 
13, 1178, 3516, 274, 12.000000, 0.000000 
14, 1174, 3538, 274, 13.000000, 0.000000 
15, 1171, 3560, 274, 14.000000, 0.000000 
16, 1167, 288, 274, 15.000000, 0.000000 
17, 1164, 309, 274, 16.000000, 0.000000 
18, 1161, 328, 274, 17.000000, 0.000000 
19, 1158, 345, 274, 18.000000, 0.000000 
20, 1154, 360, 274, 19.000000, 0.000000 
21, 1150, 372, 274, 20.000000, 0.000000 
22, 1145, 380, 274, 21.000000, 0.000000 
23, 1138, 385, 274, 22.000000, 0.000000 
24, 1131, 385, 274, 23.000000, 0.000000 
25, 1122, 381, 274, 24.000000, 0.000000 
26, 1112, 372, 274, 25.000000, 0.000000 
27, 1099, 358, 274, 26.000000, 0.000000 
28, 1085, 337, 274, 27.000000, 0.000000 
29, 1069, 310, 274, 28.000000, 0.000000 
30, 1050, 277, 274, 29.000000, 0.000000 
31, 1029, 3531, 274, 30.000000, 0.000000 
32, 1005, 3483, 274, 31.000000, 0.000000 
33, 979, 3428, 274, 32.000000, 0.000000 
34, 951, 3368, 274, 33.000000, 0.000000 
35, 920, 3302, 274, 34.000000, 0.000000 
36, 888, 3232, 274, 35.000000, 0.000000 
37, 854, 3159, 274, 36.000000, 0.000000 
38, 819, 3084, 274, 37.000000, 0.000000 
39, 783, 3007, 274, 38.000000, 0.000000 
40, 747, 2930, 274, 39.000000, 0.000000 
41, 709, 2852, 274, 40.000000, 0.000000 
42, 672, 2776, 274, 41.000000, 0.000000 
43, 634, 2702, 274, 42.000000, 0.000000 
44, 597, 2630, 274, 43.000000, 0.000000 
45, 560, 2563, 274, 44.000000, 0.000000 
46, 523, 2499, 274, 45.000000, 0.000000 
47, 488, 2441, 274, 46.000000, 0.000000 
48, 453, 2388, 274, 47.000000, 0.000000 
49, 419, 2340, 274, 48.000000, 0.000000 
50, 386, 2296, 274, 49.000000, 0.000000 
51, 353, 2256, 274, 50.000000, 0.000000 
52, 321, 2219, 274, 51.000000, 0.000000 
53, 289, 2185, 274, 52.000000, 0.000000 
54, 3553, 2154, 274, 53.000000, 0.000000 
55, 3522, 2125, 274, 54.000000, 0.000000 
56, 3491, 2099, 274, 55.000000, 0.000000 
57, 3461, 2073, 274, 56.000000, 0.000000 
58, 3430, 2049, 274, 57.000000, 0.000000 
59, 3400, 2025, 274, 58.000000, 0.000000 
60, 3369, 2002, 274, 59.000000, 0.000000 
61, 3339, 1979, 274, 60.000000, 0.000000 
62, 3308, 1955, 274, 61.000000, 0.000000 
63, 3278, 1931, 274, 62.000000, 0.000000 
64, 3247, 1907, 274, 63.000000, 0.000000 
65, 3217, 1883, 274, 64.000000, 0.000000 
66, 3187, 1858, 274, 65.000000, 0.000000 
67, 3157, 1834, 274, 66.000000, 0.000000 
68, 3128, 1810, 274, 67.000000, 0.000000 
69, 3100, 1787, 274, 68.000000, 0.000000 
70, 3072, 1763, 274, 69.000000, 0.000000 
71, 3046, 1741, 274, 70.000000, 0.000000 
72, 3020, 1720, 274, 71.000000, 0.000000 
73, 2996, 1699, 274, 72.000000, 0.000000 
74, 2973, 1679, 274, 73.000000, 0.000000 
75, 2951, 1661, 274, 74.000000, 0.000000 
76, 2931, 1643, 274, 75.000000, 0.000000 
77, 2913, 1627, 274, 76.000000, 0.000000 
78, 2896, 1613, 274, 77.000000, 0.000000 
79, 2880, 1599, 274, 78.000000, 0.000000 
80, 2867, 1587, 274, 79.000000, 0.000000 
81, 2855, 1576, 274, 80.000000, 0.000000 
82, 2844, 1566, 274, 81.000000, 0.000000 
83, 2836, 1557, 274, 82.000000, 0.000000 
84, 2828, 1548, 274, 83.000000, 0.000000 
85, 2823, 1541, 274, 84.000000, 0.000000 
86, 2818, 1534, 274, 85.000000, 0.000000 
87, 2816, 1528, 274, 86.000000, 0.000000 
88, 2815, 1522, 274, 87.000000, 0.000000 
89, 2815, 1517, 274, 88.000000, 0.000000 
90, 2817, 1512, 274, 89.000000, 0.000000 
91, 2820, 1507, 274, 90.000000, 0.000000 
92, 2825, 1503, 274, 91.000000, 0.000000 
93, 2831, 1499, 274, 92.000000, 0.000000 
94, 2839, 1494, 274, 93.000000, 0.000000 
95, 2847, 1490, 274, 94.000000, 0.000000 
96, 2857, 1484, 274, 95.000000, 0.000000 
97, 2867, 1478, 274, 96.000000, 0.000000 
98, 2878, 1470, 274, 97.000000, 0.000000 
99, 2889, 1462, 274, 98.000000, 0.000000 
100, 2901, 1451, 274, 99.000000, 0.000000 
101, 2914, 1439, 274, 100.000000, 0.000000 
102, 2926, 1425, 274, 101.000000, 0.000000 
103, 2939, 1409, 274, 102.000000, 0.000000 
104, 2951, 1390, 274, 103.000000, 0.000000 
105, 2964, 1369, 274, 104.000000, 0.000000 
106, 2976, 1345, 274, 105.000000, 0.000000 
107, 2987, 1318, 274, 106.000000, 0.000000 
108, 2998, 1288, 274, 107.000000, 0.000000 
109, 3009, 1256, 274, 108.000000, 0.000000 
110, 3020, 1222, 274, 109.000000, 0.000000 
111, 3031, 1187, 274, 110.000000, 0.000000 
112, 3041, 1151, 274, 111.000000, 0.000000 
113, 3052, 1114, 274, 112.000000, 0.000000 
114, 3062, 1077, 274, 113.000000, 0.000000 
115, 3073, 1040, 274, 114.000000, 0.000000 
116, 3083, 1004, 274, 115.000000, 0.000000 
117, 3094, 969, 274, 116.000000, 0.000000 
118, 3106, 935, 274, 117.000000, 0.000000 
119, 3117, 903, 274, 118.000000, 0.000000 
120, 3129, 874, 274, 119.000000, 0.000000 
121, 3142, 847, 274, 120.000000, 0.000000 
122, 3155, 824, 274, 121.000000, 0.000000 
123, 3169, 803, 274, 122.000000, 0.000000 
124, 3182, 785, 274, 123.000000, 0.000000 
125, 3196, 770, 274, 124.000000, 0.000000 
126, 3210, 756, 274, 125.000000, 0.000000 
127, 3223, 745, 274, 126.000000, 0.000000 
128, 3235, 735, 274, 127.000000, 0.000000 
129, 3246, 727, 274, 128.000000, 0.000000 
130, 3257, 721, 274, 129.000000, 0.000000 
131, 3266, 715, 274, 130.000000, 0.000000 
132, 3274, 710, 274, 131.000000, 0.000000 
133, 3280, 706, 274, 132.000000, 0.000000 
134, 3284, 702, 274, 133.000000, 0.000000 
135, 3286, 698, 274, 134.000000, 0.000000 
136, 3285, 695, 274, 135.000000, 0.000000 
137, 3283, 691, 274, 136.000000, 0.000000 
138, 3278, 686, 274, 137.000000, 0.000000 
139, 3272, 682, 274, 138.000000, 0.000000 
140, 3266, 677, 274, 139.000000, 0.000000 
141, 3259, 672, 274, 140.000000, 0.000000 
142, 3253, 666, 274, 141.000000, 0.000000 
143, 3249, 661, 274, 142.000000, 0.000000 
144, 3246, 655, 274, 143.000000, 0.000000 
145, 3246, 650, 274, 144.000000, 0.000000 
146, 3249, 644, 274, 145.000000, 0.000000 
147, 3256, 638, 274, 146.000000, 0.000000 
148, 3268, 632, 274, 147.000000, 0.000000 
149, 3284, 626, 274, 148.000000, 0.000000 
150, 3306, 620, 274, 149.000000, 0.000000 
151, 3335, 614, 274, 150.000000, 0.000000 
152, 3370, 607, 274, 151.000000, 0.000000 
153, 3411, 601, 274, 152.000000, 0.000000 
154, 3458, 596, 274, 153.000000, 0.000000 
155, 3509, 590, 274, 154.000000, 0.000000 
156, 3564, 584, 274, 155.000000, 0.000000 
157, 327, 579, 274, 156.000000, 0.000000 
158, 387, 574, 274, 157.000000, 0.000000 
159, 448, 569, 274, 158.000000, 0.000000 
160, 510, 565, 274, 159.000000, 0.000000 
161, 572, 561, 274, 160.000000, 0.000000 
162, 632, 558, 274, 161.000000, 0.000000 
163, 691, 555, 274, 162.000000, 0.000000 
164, 747, 553, 274, 163.000000, 0.000000 
165, 799, 551, 274, 164.000000, 0.000000 
166, 848, 550, 274, 165.000000, 0.000000 
167, 891, 549, 274, 166.000000, 0.000000 
168, 930, 549, 274, 167.000000, 0.000000 
169, 964, 550, 274, 168.000000, 0.000000 
170, 994, 551, 274, 169.000000, 0.000000 
171, 1021, 552, 274, 170.000000, 0.000000 
172, 1045, 554, 274, 171.000000, 0.000000 
173, 1066, 556, 274, 172.000000, 0.000000 
174, 1085, 558, 274, 173.000000, 0.000000 
175, 1101, 560, 274, 174.000000, 0.000000 
176, 1117, 562, 274, 175.000000, 0.000000 
177, 1131, 563, 274, 176.000000, 0.000000 
178, 1145, 565, 274, 177.000000, 0.000000 
179, 1158, 566, 274, 178.000000, 0.000000 
180, 1171, 567, 274, 179.000000, 0.000000 
181, 1185, 567, 274, 180.000000, 0.000000 
182, 1200, 567, 274, 181.000000, 0.000000 
183, 1215, 566, 274, 182.000000, 0.000000 
184, 1231, 565, 274, 183.000000, 0.000000 
185, 1247, 563, 274, 184.000000, 0.000000 
186, 1264, 562, 274, 185.000000, 0.000000 
187, 1281, 560, 274, 186.000000, 0.000000 
188, 1297, 559, 274, 187.000000, 0.000000 
189, 1314, 557, 274, 188.000000, 0.000000 
190, 1330, 556, 274, 189.000000, 0.000000 
191, 1345, 555, 274, 190.000000, 0.000000 
192, 1360, 555, 274, 191.000000, 0.000000 
193, 1374, 555, 274, 192.000000, 0.000000 
194, 1387, 556, 274, 193.000000, 0.000000 
195, 1398, 558, 274, 194.000000, 0.000000 
196, 1409, 561, 274, 195.000000, 0.000000 
197, 1418, 564, 274, 196.000000, 0.000000 
198, 1425, 569, 274, 197.000000, 0.000000 
199, 1431, 574, 274, 198.000000, 0.000000 
200, 1436, 580, 274, 199.000000, 0.000000 
201, 1439, 587, 274, 200.000000, 0.000000 
202, 1442, 594, 274, 201.000000, 0.000000 
203, 1443, 602, 274, 202.000000, 0.000000 
204, 1444, 610, 274, 203.000000, 0.000000 
205, 1443, 618, 274, 204.000000, 0.000000 
206, 1442, 626, 274, 205.000000, 0.000000 
207, 1441, 634, 274, 206.000000, 0.000000 
208, 1438, 642, 274, 207.000000, 0.000000 
209, 1436, 650, 274, 208.000000, 0.000000 
210, 1432, 658, 274, 209.000000, 0.000000 
211, 1429, 665, 274, 210.000000, 0.000000 
212, 1425, 671, 274, 211.000000, 0.000000 
213, 1421, 678, 274, 212.000000, 0.000000 
214, 1417, 684, 274, 213.000000, 0.000000 
215, 1414, 690, 274, 214.000000, 0.000000 
216, 1410, 695, 274, 215.000000, 0.000000 
217, 1407, 701, 274, 216.000000, 0.000000 
218, 1405, 708, 274, 217.000000, 0.000000 
219, 1403, 714, 274, 218.000000, 0.000000 
220, 1401, 721, 274, 219.000000, 0.000000 
221, 1401, 729, 274, 220.000000, 0.000000 
222, 1402, 737, 274, 221.000000, 0.000000 
223, 1403, 746, 274, 222.000000, 0.000000 
224, 1406, 756, 274, 223.000000, 0.000000 
225, 1411, 767, 274, 224.000000, 0.000000 
226, 1416, 779, 274, 225.000000, 0.000000 
227, 1424, 793, 274, 226.000000, 0.000000 
228, 1433, 808, 274, 227.000000, 0.000000 
229, 1443, 824, 274, 228.000000, 0.000000 
230, 1456, 842, 274, 229.000000, 0.000000 
231, 1470, 862, 274, 230.000000, 0.000000 
232, 1486, 883, 274, 231.000000, 0.000000 
233, 1503, 906, 274, 232.000000, 0.000000 
234, 1523, 931, 274, 233.000000, 0.000000 
235, 1544, 958, 274, 234.000000, 0.000000 
236, 1568, 987, 274, 235.000000, 0.000000 
237, 1593, 1018, 274, 236.000000, 0.000000 
238, 1620, 1051, 274, 237.000000, 0.000000 
239, 1650, 1087, 274, 238.000000, 0.000000 
240, 1681, 1125, 274, 239.000000, 0.000000 
241, 1715, 1165, 274, 240.000000, 0.000000 
242, 1750, 1208, 274, 241.000000, 0.000000 
243, 1788, 1253, 274, 242.000000, 0.000000 
244, 1826, 1299, 274, 243.000000, 0.000000 
245, 1866, 1347, 274, 244.000000, 0.000000 
246, 1907, 1396, 274, 245.000000, 0.000000 
247, 1948, 1446, 274, 246.000000, 0.000000 
248, 1989, 1496, 274, 247.000000, 0.000000 
249, 2030, 1545, 274, 248.000000, 0.000000 
250, 2070, 1595, 274, 249.000000, 0.000000 
251, 2109, 1643, 274, 250.000000, 0.000000 
252, 2146, 1690, 274, 251.000000, 0.000000 
253, 2182, 1735, 274, 252.000000, 0.000000 
254, 2216, 1778, 274, 253.000000, 0.000000 
255, 2247, 1819, 274, 254.000000, 0.000000 
256, 2276, 1857, 274, 255.000000, 0.000000 
257, 2301, 1891, 274, 256.000000, 0.000000 
258, 2324, 1923, 274, 257.000000, 0.000000 
259, 2344, 1953, 274, 258.000000, 0.000000 
260, 2361, 1980, 274, 259.000000, 0.000000 
261, 2377, 2006, 274, 260.000000, 0.000000 
262, 2391, 2031, 274, 261.000000, 0.000000 
263, 2403, 2054, 274, 262.000000, 0.000000 
264, 2414, 2078, 274, 263.000000, 0.000000 
265, 2424, 2101, 274, 264.000000, 0.000000 
266, 2434, 2124, 274, 265.000000, 0.000000 
267, 2443, 2148, 274, 266.000000, 0.000000 
268, 2452, 2173, 274, 267.000000, 0.000000 
269, 2461, 2199, 274, 268.000000, 0.000000 
270, 2470, 2228, 274, 269.000000, 0.000000 
271, 2481, 2258, 274, 270.000000, 0.000000 
272, 2492, 2291, 274, 271.000000, 0.000000 
273, 2504, 2327, 274, 272.000000, 0.000000 
274, 2517, 2365, 274, 273.000000, 0.000000 
275, 2530, 2406, 274, 274.000000, 0.000000 
276, 2544, 2449, 274, 275.000000, 0.000000 
277, 2559, 2495, 274, 276.000000, 0.000000 
278, 2574, 2544, 274, 277.000000, 0.000000 
279, 2590, 2595, 274, 278.000000, 0.000000 
280, 2606, 2648, 274, 279.000000, 0.000000 
281, 2622, 2704, 274, 280.000000, 0.000000 
282, 2638, 2762, 274, 281.000000, 0.000000 
283, 2654, 2823, 274, 282.000000, 0.000000 
284, 2671, 2886, 274, 283.000000, 0.000000 
285, 2687, 2952, 274, 284.000000, 0.000000 
286, 2703, 3020, 274, 285.000000, 0.000000 
287, 2718, 3090, 274, 286.000000, 0.000000 
288, 2734, 3162, 274, 287.000000, 0.000000 
289, 2748, 3235, 274, 288.000000, 0.000000 
290, 2762, 3309, 274, 289.000000, 0.000000 
291, 2775, 3382, 274, 290.000000, 0.000000 
292, 2788, 3454, 274, 291.000000, 0.000000 
293, 2799, 3524, 274, 292.000000, 0.000000 
294, 2809, 298, 274, 293.000000, 0.000000 
295, 2817, 363, 274, 294.000000, 0.000000 
296, 2825, 424, 274, 295.000000, 0.000000 
