1229	2396	 274
1238	2401	 274
1247	2405	 274
1257	2408	 274
1267	2411	 274
1277	2413	 274
1288	2414	 274
1298	2415	 274
1307	2416	 274
1316	2417	 274
1324	2417	 274
1331	2417	 274
1338	2417	 274
1344	2417	 274
1349	2417	 274
1354	2416	 274
1359	2416	 274
1363	2415	 274
1366	2414	 274
1369	2412	 274
1372	2411	 274
1374	2409	 274
1378	2407	 274
1383	2405	 274
1388	2403	 274
1395	2400	 274
1403	2398	 274
1412	2395	 274
1420	2392	 274
1429	2389	 274
1438	2385	 274
1447	2382	 274
1455	2378	 274
1464	2375	 274
1471	2371	 274
1478	2367	 274
1485	2363	 274
1491	2360	 274
1496	2355	 274
1501	2350	 274
1505	2345	 274
1509	2340	 274
1511	2335	 274
1513	2329	 274
1513	2323	 274
1516	2320	 274
1520	2316	 274
1525	2311	 274
1532	2306	 274
1539	2299	 274
1547	2292	 274
1556	2283	 274
1565	2274	 274
1574	2263	 274
1583	2252	 274
1592	2240	 274
1601	2227	 274
1610	2213	 274
1618	2200	 274
1625	2186	 274
1631	2174	 274
1636	2161	 274
1641	2150	 274
1644	2140	 274
1647	2131	 274
1650	2124	 274
1651	2119	 274
1652	2119	 274
1653	2117	 274
1654	2115	 274
1654	2112	 274
1654	2109	 274
1653	2106	 274
1652	2104	 274
1652	2102	 274
1651	2102	 274
1650	2103	 274
1649	2105	 274
1648	2109	 274
1647	2113	 274
1646	2116	 274
1645	2119	 274
1645	2122	 274
1645	2135	 274
1645	2155	 274
1645	2186	 274
1646	2230	 274
1648	2279	 274
1649	2319	 274
1652	2361	 274
1655	2397	 274
1658	2419	 274
1662	2429	 274
1666	2481	 274
1671	2542	 274
1675	2647	 274
1680	2714	 274
1684	2738	 274
1689	2819	 274
1692	2912	 274
1696	3008	 274
1699	3040	 274
1707	3163	 274
1714	3266	 274
1720	3327	 274
1727	3404	 274
1733	3563	 274
1739	3632	 274
1744	3821	 274
1750	3821	 274
1754	 300	 274
1759	 309	 274
1763	 353	 274
1767	 408	 274
1770	 440	 274
