1816	1189	 274
1816	1200	 274
1817	1208	 274
1818	1210	 274
1820	1210	 274
1821	1214	 274
1822	1218	 274
1822	1223	 274
1822	1230	 274
1822	1236	 274
1821	1243	 274
1821	1250	 274
1820	1257	 274
1819	1264	 274
1818	1271	 274
1817	1279	 274
1817	1286	 274
1816	1293	 274
1816	1300	 274
1816	1308	 274
1816	1315	 274
1816	1323	 274
1816	1331	 274
1816	1339	 274
1816	1347	 274
1816	1355	 274
1816	1363	 274
1817	1370	 274
1819	1375	 274
1822	1386	 274
1826	1404	 274
1833	1425	 274
1843	1445	 274
1854	1464	 274
1868	1480	 274
1882	1493	 274
1897	1504	 274
1912	1511	 274
1929	1513	 274
1948	1523	 274
1982	1541	 274
2002	1565	 274
2028	1596	 274
2053	1630	 274
2075	1662	 274
2094	1687	 274
2108	1706	 274
2117	1733	 274
2119	1757	 274
2129	1777	 274
2146	1793	 274
2167	1805	 274
2192	1813	 274
2219	1816	 274
2248	1817	 274
2275	1829	 274
2297	1847	 274
2313	1868	 274
2324	1886	 274
2342	1903	 274
2357	1919	 274
2368	1934	 274
2377	1949	 274
2385	1964	 274
2392	1967	 274
2397	1997	 274
2402	2009	 274
2406	2019	 274
2409	2028	 274
2412	2035	 274
2414	2041	 274
2416	2046	 274
2417	2050	 274
2419	2053	 274
2420	2055	 274
2420	2057	 274
2421	2057	 274
2421	2058	 274
2421	2057	 274
2422	2057	 274
2423	2056	 274
2426	2055	 274
2432	2053	 274
2439	2052	 274
2448	2050	 274
2460	2049	 274
2473	2047	 274
2488	2046	 274
2502	2045	 274
2519	2044	 274
2538	2043	 274
2563	2043	 274
2619	2044	 274
2644	2044	 274
2676	2045	 274
2701	2046	 274
2718	2046	 274
2724	2047	 274
2735	2047	 274
2756	2047	 274
2791	2047	 274
2839	2046	 274
2884	2044	 274
2912	2042	 274
2957	2039	 274
2996	2034	 274
3020	2029	 274
3027	2022	 274
3042	2014	 274
3082	2004	 274
3133	1992	 274
3182	1990	 274
3223	1959	 274
3254	1944	 274
3275	1929	 274
3298	1913	 274
3318	1897	 274
3328	1879	 274
3330	1857	 274
3338	1835	 274
3361	1819	 274
3392	1816	 274
3422	1812	 274
3449	1801	 274
3471	1782	 274
3489	1756	 274
3503	1724	 274
3514	1691	 274
3522	1658	 274
3528	1609	 274
3532	1562	 274
3535	1528	 274
3536	1513	 274
3535	1503	 274
3534	1481	 274
3532	1445	 274
3529	1397	 274
3526	1367	 274
3522	1336	 274
3517	1294	 274
3513	1254	 274
3509	1226	 274
3505	1212	 274
3501	1208	 274
3499	1193	 274
3497	1171	 274
3496	1152	 274
3497	1133	 274
3500	1104	 274
3504	1070	 274
3510	1052	 274
3518	1045	 274
3527	1034	 274
3538	1023	 274
3550	1011	 274
3562	1000	 274
3573	 990	 274
3584	 982	 274
3594	 975	 274
3602	 970	 274
3616	 966	 274
3626	 964	 274
3632	 963	 274
3632	 963	 274
3642	 964	 274
3687	 965	 274
3745	 968	 274
3793	 971	 274
3823	 975	 274
3871	 979	 274
3912	 984	 274
3933	 989	 274
3935	 993	 274
3935	 998	 274
3935	1003	 274
3935	1007	 274
3935	1011	 274
3935	1014	 274
3935	1017	 274
 300	1019	 274
 302	1021	 274
 302	1021	 274
 302	1021	 274
 303	1021	 274
 305	1019	 274
 308	1017	 274
 310	1014	 274
 313	1010	 274
 315	1004	 274
 317	 998	 274
 318	 990	 274
 318	 981	 274
 317	 970	 274
 316	 959	 274
 313	 947	 274
 310	 936	 274
 306	 926	 274
 303	 917	 274
 302	 910	 274
 302	 908	 274
 299	 908	 274
 299	 906	 274
 299	 901	 274
 299	 894	 274
3919	 883	 274
3815	 869	 274
3676	 851	 274
3629	 829	 274
3585	 800	 274
3504	 779	 274
3376	 749	 274
3329	 710	 274
3278	 670	 274
3209	 639	 274
3087	 617	 274
3026	 605	 274
2960	 597	 274
2863	 580	 274
2749	 550	 274
2716	 495	 274
2621	 484	 274
2503	 448	 274
2425	 437	 274
2402	 414	 274
2323	 377	 274
2215	 339	 274
2123	 311	 274
2082	 302	 274
1989	 297	 274
1885	 284	 274
1817	3934	 274
1802	3829	 274
1749	3691	 274
1683	3632	 274
1600	3599	 274
1531	3557	 274
1510	3491	 274
1481	3412	 274
1429	3347	 274
1374	3330	 274
1343	3324	 274
1298	3305	 274
1259	3279	 274
1232	3266	 274
1217	3248	 274
1211	3229	 274
1210	3208	 274
1207	3189	 274
1203	3170	 274
1198	3154	 274
1195	3140	 274
1194	3127	 274
1194	3118	 274
1196	3110	 274
1199	3105	 274
1202	3101	 274
1206	3099	 274
1209	3098	 274
1210	3098	 274
1210	3099	 274
1214	3101	 274
1219	3104	 274
1227	3107	 274
1238	3110	 274
1251	3113	 274
1267	3116	 274
1284	3118	 274
1302	3121	 274
1318	3122	 274
1333	3122	 274
1345	3121	 274
1354	3119	 274
1362	3116	 274
1367	3111	 274
1371	3106	 274
1374	3100	 274
1377	3093	 274
1380	3087	 274
1383	3080	 274
1385	3074	 274
1387	3067	 274
1387	3061	 274
1387	3056	 274
1387	3052	 274
1385	3048	 274
1383	3045	 274
1381	3042	 274
1379	3040	 274
1376	3039	 274
1374	3039	 274
1373	3040	 274
1371	3041	 274
1369	3044	 274
1366	3048	 274
1363	3054	 274
1360	3062	 274
1356	3073	 274
1353	3088	 274
1349	3106	 274
1345	3127	 274
1341	3152	 274
1338	3179	 274
1334	3206	 274
1331	3232	 274
1328	3255	 274
1326	3273	 274
1323	3295	 274
1322	3317	 274
1320	3329	 274
1320	3333	 274
1320	3374	 274
1320	3444	 274
1321	3513	 274
1322	3567	 274
1325	3601	 274
1327	3631	 274
1331	3665	 274
1335	3801	 274
1339	3906	 274
1344	3935	 274
1349	 289	 274
1355	 299	 274
1361	 302	 274
1366	 310	 274
1371	 333	 274
1375	 366	 274
1383	 401	 274
1395	 427	 274
1411	 443	 274
1428	 455	 274
1444	 479	 274
1459	 503	 274
1473	 554	 274
1485	 581	 274
1496	 597	 274
1504	 605	 274
1510	 617	 274
1513	 640	 274
1517	 674	 274
1528	 718	 274
1543	 761	 274
1563	 789	 274
1587	 823	 274
1614	 853	 274
1641	 876	 274
1664	 893	 274
1683	 904	 274
1696	 908	 274
1716	 911	 274
1735	 928	 274
1752	 956	 274
1767	 990	 274
1779	1020	 274
1790	1042	 274
1799	1054	 274
1805	1088	 274
1810	1122	 274
1813	1144	 274
1815	1158	 274
1816	1174	 274
