3329	1224	 274
3329	1226	 274
3328	1229	 274
3328	1232	 274
3327	1236	 274
3325	1241	 274
3323	1245	 274
3320	1251	 274
3317	1257	 274
3313	1264	 274
3308	1271	 274
3301	1279	 274
3295	1288	 274
3286	1298	 274
3278	1308	 274
3274	1318	 274
3268	1329	 274
3262	1339	 274
3253	1348	 274
3244	1357	 274
3233	1365	 274
3221	1371	 274
3207	1378	 274
3193	1390	 274
3177	1406	 274
3160	1424	 274
3142	1441	 274
3123	1457	 274
3105	1471	 274
3087	1483	 274
3070	1493	 274
3056	1502	 274
3043	1509	 274
3034	1512	 274
3028	1513	 274
3027	1524	 274
3026	1539	 274
3024	1559	 274
3019	1584	 274
3013	1614	 274
3005	1645	 274
2996	1673	 274
2985	1693	 274
2973	1716	 274
2960	1742	 274
2947	1766	 274
2933	1787	 274
2921	1803	 274
2911	1813	 274
2903	1816	 274
2897	1824	 274
2890	1851	 274
2882	1884	 274
2872	1916	 274
2862	1952	 274
2851	2002	 274
2840	2048	 274
2830	2085	 274
2819	2111	 274
2809	2119	 274
2800	2141	 274
2791	2181	 274
2783	2234	 274
2776	2287	 274
2770	2322	 274
2764	2363	 274
2759	2393	 274
2754	2413	 274
2750	2421	 274
2747	2430	 274
2743	2461	 274
2741	2498	 274
2738	2533	 274
2736	2579	 274
2734	2647	 274
2732	2690	 274
2730	2716	 274
2729	2724	 274
2724	2739	 274
2724	2768	 274
2724	2814	 274
2724	2866	 274
2724	2900	 274
2724	2937	 274
2724	2980	 274
2724	3010	 274
2723	3025	 274
2723	3028	 274
2722	3050	 274
2721	3087	 274
2721	3130	 274
2720	3172	 274
2719	3208	 274
2718	3237	 274
2716	3259	 274
2715	3274	 274
2713	3291	 274
2712	3308	 274
2710	3321	 274
2708	3328	 274
2705	3330	 274
2703	3330	 274
2699	3338	 274
2696	3353	 274
2692	3372	 274
2687	3392	 274
2681	3411	 274
2675	3429	 274
2668	3444	 274
2659	3456	 274
2649	3466	 274
2639	3473	 274
2626	3478	 274
2625	3481	 274
2586	3481	 274
2570	3479	 274
2556	3475	 274
2542	3469	 274
2529	3460	 274
2516	3448	 274
2503	3434	 274
2489	3417	 274
2474	3398	 274
2457	3378	 274
2441	3359	 274
2428	3342	 274
2422	3332	 274
2421	3330	 274
2417	3329	 274
2408	3323	 274
2394	3312	 274
2376	3296	 274
2352	3277	 274
2322	3264	 274
2298	3244	 274
2259	3217	 274
2212	3183	 274
2170	3143	 274
2137	3099	 274
2119	3059	 274
2110	3032	 274
2085	3027	 274
2045	3016	 274
1996	2991	 274
1943	2952	 274
1905	2910	 274
1867	2881	 274
1829	2834	 274
1816	2784	 274
1810	2749	 274
1792	2729	 274
1763	2722	 274
1726	2705	 274
1689	2671	 274
1650	2618	 274
1596	2557	 274
1549	2518	 274
1520	2484	 274
1511	2448	 274
1496	2424	 274
1469	2420	 274
1428	2408	 274
1381	2386	 274
1358	2354	 274
1322	2317	 274
1279	2278	 274
1243	2225	 274
1220	2175	 274
1210	2138	 274
1205	2119	 274
1185	2110	 274
1163	2085	 274
1144	2049	 274
1116	2005	 274
1078	1956	 274
1052	1920	 274
1041	1889	 274
1023	1858	 274
1001	1829	 274
 979	1816	 274
 957	1815	 274
 940	1807	 274
 927	1793	 274
 918	1775	 274
 912	1753	 274
 909	1729	 274
 908	1700	 274
 908	1684	 274
 908	1660	 274
 907	1631	 274
 906	1599	 274
 905	1571	 274
 904	1547	 274
 904	1530	 274
 903	1518	 274
 902	1513	 274
 902	1510	 274
 901	1503	 274
 901	1493	 274
 901	1481	 274
 902	1466	 274
 902	1448	 274
 902	1427	 274
 903	1405	 274
 903	1384	 274
 904	1373	 274
 904	1364	 274
 905	1352	 274
 905	1337	 274
 906	1320	 274
 906	1302	 274
 907	1284	 274
 907	1267	 274
 907	1253	 274
 907	1240	 274
 907	1229	 274
 908	1221	 274
 908	1215	 274
 908	1212	 274
 908	1210	 274
 908	1210	 274
 908	1206	 274
 908	1199	 274
 908	1191	 274
 907	1182	 274
 907	1172	 274
 907	1163	 274
 906	1155	 274
 906	1147	 274
 905	1138	 274
 903	1125	 274
 902	1110	 274
 899	1093	 274
 897	1075	 274
 894	1060	 274
 891	1052	 274
 887	1048	 274
 883	1042	 274
 878	1034	 274
 873	1025	 274
 868	1015	 274
 863	1005	 274
 857	 993	 274
 852	 982	 274
 846	 971	 274
 840	 960	 274
 835	 950	 274
 829	 942	 274
 823	 934	 274
 818	 927	 274
 813	 922	 274
 808	 918	 274
 805	 914	 274
 803	 911	 274
 801	 909	 274
 801	 908	 274
 801	 908	 274
 802	 908	 274
 805	 908	 274
 808	 908	 274
 813	 908	 274
 820	 907	 274
 827	 907	 274
 835	 907	 274
 844	 906	 274
 852	 906	 274
 862	 906	 274
 871	 906	 274
 881	 906	 274
 890	 906	 274
 898	 906	 274
 904	 906	 274
 907	 906	 274
 908	 907	 274
 916	 907	 274
 936	 907	 274
 966	 907	 274
1003	 908	 274
1034	 908	 274
1053	 908	 274
1098	 908	 274
1142	 908	 274
1169	 909	 274
1198	 910	 274
1210	 912	 274
1224	 915	 274
1261	 919	 274
1315	 924	 274
1361	 929	 274
1398	 935	 274
1458	 943	 274
1495	 951	 274
1513	 960	 274
1533	 969	 274
1587	 979	 274
1655	 990	 274
1699	1000	 274
1754	1009	 274
1793	1018	 274
1814	1026	 274
1822	1034	 274
1870	1040	 274
